ID,class_ID,class_name,season_IMG,season_big_IMG,card_IMG
284,RTN,Returnees,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/rtn.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/rtn_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/rtn.png
272,BWC,Best of World Cup,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/bwc.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/bwc_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/bwc.png
273,WC22,World Cup 2022,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/wc22.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/wc22_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/wc22.png
274,RMCF,Real Madrid Ambassador,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/rmcf.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/rmcf_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/rmcf.png
270,SPL,Spotlight,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/spl.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/spl_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/spl.png
268,LN,LEGENDARY NUMBERS,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ln.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/ln_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/ln.png
265,LOL,LEGEND OF THE LOAN,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/lol.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/lol_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/lol.png
264,FA,FREE AGENT,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/fa.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/fa_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/fa.png
835,25HR,25 Heroes,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25hr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/25hr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/25hr.png
811,24HR,24 Heroes,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24hr.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/season/24hr_big.png,https://ssl.nexon.com/s2/game/fc/online/obt/externalAssets/new/card/24hr.png
