ID,season_ID,player_ID,name
110001615,110,1615,릴리앙 튀람
110001620,110,1620,에마뉘엘 프티
110001625,110,1625,티에리 앙리
110001668,110,1668,클로드 마켈렐레
110001845,110,1845,올레 군나르 솔샤르
110003647,110,3647,미하엘 발락
110004000,110,4000,데니스 베르캄프
110004202,110,4202,젠나로 가투소
110004231,110,4231,히바우두
110004833,110,4833,H. 스토이치코프
110005003,110,5003,카푸
110005099,110,5099,잔루카 잠브로타
110005419,110,5419,마이클 오언
110005467,110,5467,제이미 캐러거
110005471,110,5471,프랭크 램파드
110005479,110,5479,카시야스
110005589,110,5589,루이스 피구
110005673,110,5673,야리 리트마넨
110005680,110,5680,P. 클라위베르트
110005984,110,5984,다비드 트레제게
110006235,110,6235,파벨 네드베드
110006975,110,6975,프레디 융베리
110007289,110,7289,리오 퍼디난드
110007512,110,7512,에르난 크레스포
110007518,110,7518,베론
110007763,110,7763,안드레아 피를로
110007826,110,7826,로빈 반페르시
110009676,110,9676,사뮈엘 에토
110010264,110,10264,뤼트 반니스텔로이
110010535,110,10535,차비
110011141,110,11141,미로슬라프 클로제
110013038,110,13038,카를레스 푸욜
110013128,110,13128,안드리 셰우첸코
110013383,110,13383,나카타 히데토시
110013743,110,13743,스티븐 제라드
110020289,110,20289,야야 투레
110023174,110,23174,리켈메
110028130,110,28130,호나우지뉴
110031432,110,31432,디디에 드로그바
110034079,110,34079,애슐리 콜
110037576,110,37576,호나우두
110039943,110,39943,박지성
110041236,110,41236,즐라탄
110045197,110,45197,샤비 알론소
110045661,110,45661,라울
110045674,110,45674,마이클 에시앙
110048940,110,48940,페트르 체흐
110049369,110,49369,페르난도 토레스
110051539,110,51539,에드윈 반데르사르
110052241,110,52241,헨릭 라르손
110054050,110,54050,웨인 루니
110121939,110,121939,필립 람
110121944,110,121944,B. 슈바인슈타이거
110138449,110,138449,카카
110138956,110,138956,조르조 키엘리니
110140601,110,140601,네마냐 비디치
110156353,110,156353,루이스 에르난데스
110156616,110,156616,프랑크 리베리
110161840,110,161840,페르난도 이에로
110166124,110,166124,게오르게 하지
